Location Code,Location,Vintage,Region,Wine Name,Grape/Blend,Quantity,Rating,Unit Purchase Price,Type,,
RB11,Wrack,2016,France,Chateau Laussac,Bordeaux,1,4, $15.00 ,Red,,
TR1,Rack,2017,Italy,Fantinel,Ribolla Gialla,1,3, $18.00 ,White,,
TR1,Rack,2018,France,Chateau La Gravelle,Bordeaux Blanc,1,4, $17.00 ,White,,
TR4,Rack,2014,California,Gloria Ferrer Carneros,Pinot Noir,1,4, $24.00 ,Red,,
,,2016,California,Concannon,Pinot Noir,1,4, $10.00 ,Red,,
,,2016,Spain,Alegre Valganon Rioja,Tempranillo/Granache,1,4, $18.00 ,,,
TR6,Rack,2018,Italy,Versante,Primitivo,1,5, $14.00 ,Red,,
FWHITE,Pantry,N/A,Argentina,Navarro Correas,Cava Sparking,1,, $25.00 ,White,,
,,2016,France,Le Tours de Beleir Saint-Emilion,Bordeaux,1,5, $40.00 ,Red,,
,,2018,Italy,Gio Delle Venezie,Pinot Grigio,1,, $-   ,White,,
Fridge,Fridge,2016,France,Vin D'Alsace Riesling,Reisling,1,3, $-   ,White,,
AVIG,Crate,2014,Spain,Vina Vilano Crianza (Ribera del Duero),Tempranillo,1,4, $22.00 ,Red,,
TR2,Rack,2016,France,Vieux Montpezat,Bordeaux,1,3, $21.00 ,Red,,
TR4,Rack,2012,Spain,La Cuna Reserva Rioja,Tempranillo,1,5, $17.00 ,Red,,
BREGA,Crate,2016,France,Chateau du Pin,Bordeaux,1,4, $15.00 ,Red,43554,
TR5,Rack,2015,Italy,Arcangelo,Negroamaro Salento,1,4, $15.00 ,Red,1/9/2020,
TR3,Rack,2015,Argentina,Areyna,Malbec,1,3, $18.00 ,Red,1/9/2020,
TR4,Rack,2017,California,Marietta Old Vine Red,Zinfandel,1,4, $15.00 ,Red,3/30/2019,
TR6,Rack,2016,Italy,Monti Garbi,Valpolicella Ripasso,1,4, $18.00 ,Red,8/15/2019,
TL4,Bar,2016,Australia,MWC Victoria Cabernet,Cabernet,1,3, $-   ,Red,3/30/2019,
TR6,Rack,2017,France,Sanssouci,Cabernet,1,4, $12.00 ,Red,6/30/2019,
BREGA,Crate,2016,France,Chateau Moulin de Mallet,Bordeaux,1,4, $15.00 ,Red,3/30/2019,
BREGA,Crate,2015,France,Chateau Miqueu Haut Medoc,Bordeaux,1,4, $22.00 ,Red,3/30/2019,
TR4,Rack,2017,France,Domaine J. Boulon ,Beaujolais,1,4, $15.00 ,Red,9/18/2019,
TR2,Rack,2016,Chile,Casa Silva,Cabernet,1,5, $20.00 ,Red,6/30/2019,
TR6,Rack,2017,France,Domaine Palon Cotes du Rhone,Cinsaut - Grenache - Syrah,1,4, $17.00 ,Red,10/12/2019,
LB5,Wrack,2017,Uruguay,Garzon,Tannat,1,4, $19.00 ,Red,3/30/2019,
TL2,Bar,2016,California,The Fabelist 067,Tempranillo,1,2, $-   ,Red,6/30/2019,
TR6,Rack,2017,Italy,Marchetti Castro di San Silvestro,Montepulciano - Sangiovese,1,4, $15.00 ,Red,9/15/2019,
